# h,rectangle,trapz,simpson
2.941176470588235253e-02,1.463247047307714155e-02,7.207664843189576231e-05,8.324486877597792045e-09
2.906976744186046471e-02,1.446315386976415596e-02,7.041014568098802329e-05,7.943850910407945776e-09
2.873563218390804558e-02,1.429771077575026084e-02,6.880077974624754233e-05,7.584724848186397139e-09
2.840909090909090814e-02,1.413600977416873405e-02,6.724596819740469300e-05,7.245668065536392533e-09
2.808988764044943742e-02,1.397792532632191609e-02,6.574327287101056072e-05,6.925349183006801468e-09
2.777777777777777624e-02,1.382333744667363362e-02,6.429039030741989791e-05,6.622537185307919572e-09
2.747252747252747207e-02,1.367213139915168796e-02,6.288514291696856162e-05,6.336098756776209484e-09
2.717391304347826012e-02,1.352419741318389157e-02,6.152547081850201494e-05,6.064980517805906857e-09
2.688172043010752729e-02,1.337943041795597310e-02,6.020942428275333214e-05,5.808210801205859752e-09
2.659574468085106405e-02,1.323772979356174773e-02,5.893515673882632200e-05,5.564888105880072544e-09
2.631578947368420907e-02,1.309899913779055680e-02,5.770091829493395608e-05,5.334174879578768014e-09
2.604166666666666782e-02,1.296314604744264187e-02,5.650504972631864575e-05,5.115297518898387352e-09
2.577319587628865843e-02,1.283008191308443458e-02,5.534597689749176652e-05,4.907531270248455257e-09
2.551020408163265363e-02,1.269972172634670216e-02,5.422220557438350852e-05,4.710208223457357235e-09
2.525252525252525207e-02,1.257198389882496770e-02,5.313231661130402017e-05,4.522704877274463797e-09
2.500000000000000139e-02,1.244679009181659524e-02,5.207496146564238870e-05,4.344439474834871362e-09
2.475247524752475364e-02,1.232406505611383096e-02,5.104885802698078123e-05,4.174872891837821953e-09
2.450980392156862711e-02,1.220373648120176568e-02,5.005278672332025280e-05,4.013497978405666800e-09
2.427184466019417439e-02,1.208573485318087393e-02,4.908558689908915085e-05,3.859845776332804235e-09
2.403846153846153980e-02,1.196999332087411716e-02,4.814615343473604980e-05,3.713478413658322097e-09
2.380952380952380820e-02,1.185644756954129519e-02,4.723343358481457699e-05,3.573982887417059828e-09
2.358490566037736019e-02,1.174503570171392397e-02,4.634642402390198868e-05,3.440978169066966075e-09
2.336448598130841034e-02,1.163569812468701059e-02,4.548416810035149638e-05,3.314102769991222885e-09
2.314814814814814686e-02,1.152837744424406452e-02,4.464575323925856765e-05,3.193021846925603313e-09
2.293577981651376274e-02,1.142301836419523653e-02,4.383030854082647920e-05,3.077420096531113813e-09
2.272727272727272790e-02,1.131956759138130764e-02,4.303700251107045460e-05,2.967003531750833645e-09
2.252252252252252146e-02,1.121797374579802664e-02,4.226504094173577641e-05,2.861496817274655768e-09
2.232142857142857192e-02,1.111818727550772934e-02,4.151366492344266135e-05,2.760636164111929247e-09
2.212389380530973421e-02,1.102016037605135779e-02,4.078214897784704362e-05,2.664181764089335047e-09
2.192982456140350755e-02,1.092384691409975517e-02,4.006979930615273133e-05,2.571904467174590536e-09
2.173913043478260809e-02,1.082920235505557827e-02,3.937595214598132998e-05,2.483585781476449483e-09
2.155172413793103592e-02,1.073618369440243470e-02,3.869997222061272169e-05,2.399029419564158161e-09
2.136752136752136794e-02,1.064474939254367314e-02,3.804125128770152742e-05,2.318038205828543141e-09
2.118644067796610075e-02,1.055485931296296087e-02,3.739920676792962695e-05,2.240437169120923500e-09
2.100840336134453951e-02,1.046647466347927491e-02,3.677328045625927189e-05,2.166056667363136512e-09
2.083333333333333218e-02,1.037955794042222379e-02,3.616293731223407804e-05,2.094737716618055856e-09
2.066115702479338900e-02,1.029407287559092055e-02,3.556766431245250715e-05,2.026331102911171911e-09
2.049180327868852305e-02,1.020998438577702672e-02,3.498696937231926540e-05,1.960693829516912956e-09
2.032520325203251987e-02,1.012725852477736055e-02,3.442038033085736970e-05,1.897691781493904273e-09
2.016129032258064460e-02,1.004586243769178822e-02,3.386744398703456227e-05,1.837200613863387844e-09
2.000000000000000042e-02,9.965764317427350250e-03,3.332772519826221469e-05,1.779101310717123852e-09
1.984126984126984017e-02,9.886933363250527407e-03,3.280080602063861761e-05,1.723280185217390681e-09
1.968503937007873988e-02,9.809339741308598093e-03,3.228628489804208357e-05,1.669630655953824316e-09
1.953125000000000000e-02,9.732954546977090615e-03,3.178377590007386289e-05,1.618054135121838044e-09
1.937984496124030981e-02,9.657749768963164172e-03,3.129290799996908845e-05,1.568452923095264850e-09
1.923076923076923184e-02,9.583698255066330773e-03,3.081332438181760836e-05,1.520739978388974123e-09
1.908396946564885552e-02,9.510773679486383969e-03,3.034468179929916687e-05,1.474826483160995849e-09
1.893939393939393992e-02,9.438950511619914607e-03,2.988664995751122433e-05,1.430630724996717618e-09
1.879699248120300648e-02,9.368203986269918460e-03,2.943891093476480592e-05,1.388080761444143718e-09
1.865671641791044610e-02,9.298510075167243372e-03,2.900115862480845408e-05,1.347099320980760240e-09
1.851851851851851749e-02,9.229845459768348803e-03,2.857309821813203143e-05,1.307620678403509373e-09
